Item No.,Product Name,Amazon Link,Quantity,Cost (USD),NJ Tax (6.625%),Total Cost,Running Total
1,"M4 Screws Assortment","https://www.amazon.com/Taiss-380PCS-Socket-Assortment-Washers/dp/B0CWXJ4G63/",1,7.99,0.53,8.52,8.52
2,"M5 Screws Assortment","https://www.amazon.com/Button-Washers-Machine-Assortment-Stainless/dp/B0D1VK26PM/",1,5.99,0.40,6.39,14.91
3,"M4 Thumbscrews/Knobs","https://www.amazon.com/Thumbscrews-Universal-Mounting-Hardware-Clamping/dp/B0CNQX6PQR/",1,2.99,0.20,3.19,18.10
4,"Silicone Soldering Mat","https://www.amazon.com/MMOBIEL-Anti-Static-Non-Slip-Magnetic-Soldering/dp/B08XVZTF3P/",1,5.99,0.40,6.39,24.49
5,"2020 Aluminum Extrusion","https://www.amazon.com/Aluminum-Extrusion-European-Standard-Anodized/dp/B0D52KNHB5/",1,5.99,0.40,6.39,30.88
6,"MGN12 Linear Rail 200mm","https://www.amazon.com/BEVDICNC-Bearing-Carriage-Printers-Upgrades/dp/B0BZ45L9J4/",1,12.07,0.80,12.87,43.75
7,"Extension Springs","https://www.amazon.com/Sorting-Extension-Compression-Galvanized-Mechanical/dp/B0D6GXV687/",1,7.99,0.53,8.52,52.27
8,"60W Soldering Iron","https://www.amazon.com/Soldering-Iron-Kit-Electronics-Temperature/dp/B07BJ1YXRL/",1,7.89,0.52,8.41,60.68
9,"Soldering Iron Tips","https://www.amazon.com/Tips-Soldering-Iron-Compatible-Components/dp/B0DB1SSKVN/",1,9.99,0.66,10.65,71.33
10,"Overture PLA Filament","https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B07PGY2JP1/",1,14.99,0.99,15.98,87.31
11,"M4 T-Nuts for Extrusion","https://www.amazon.com/Zorveiio-Fastener-Assortment-Aluminum-Profile/dp/B0C9DJBG1H/",1,4.99,0.33,5.32,92.63
12,"Mesee 6 Pcs Tap Wrench Tool Set","https://www.amazon.com/dp/B08JYQHR9K/",1,8.89,0.59,9.48,102.11
